"Survey_index","Net_name","Mesh_size","Length_FL","Maximal_girth","Catch_method"
6,"Net_25",25,22,126,"Wedged"
6,"Net_25",25,24,113,"Wedged"
6,"Net_25",25,24,109,"Wedged"
6,"Net_25",25,24,109,"Wedged"
6,"Net_25",25,24,142,"Wedged"
6,"Net_25",25,24,119,"Wedged"
6,"Net_25",25,24,113,"Wedged"
6,"Net_25",25,26,114,"Wedged"
6,"Net_25",25,26,139,"Wedged"
6,"Net_25",25,26,163,"Wedged"
6,"Net_25",25,28,104,"Wedged"
6,"Net_30",30,22,114,"Wedged"
6,"Net_30",30,24,116,"Wedged"
6,"Net_30",30,24,128,"Wedged"
6,"Net_30",30,26,136,"Wedged"
6,"Net_30",30,26,143,"Wedged"
6,"Net_30",30,26,141,"Wedged"
6,"Net_30",30,26,170,"Wedged"
6,"Net_30",30,26,121,"Wedged"
6,"Net_30",30,28,199,"Wedged"
6,"Net_30",30,28,118,"Wedged"
6,"Net_30",30,30,230,"Wedged"
6,"Net_20",20,16,82,"Tangled"
6,"Net_20",20,18,116,"Tangled"
6,"Net_20",20,22,124,"Tangled"
6,"Net_20",20,22,106,"Tangled"
6,"Net_20",20,24,125,"Tangled"
6,"Net_20",20,24,125,"Tangled"
6,"Net_20",20,24,120,"Tangled"
6,"Net_20",20,28,141,"Tangled"
6,"Net_20",20,30,163,"Tangled"
6,"Net_20",20,32,172,"Tangled"
6,"Net_25",25,22,130,"Tangled"
6,"Net_25",25,22,129,"Tangled"
6,"Net_25",25,22,123,"Tangled"
6,"Net_25",25,22,128,"Tangled"
6,"Net_25",25,22,102,"Tangled"
6,"Net_25",25,24,132,"Tangled"
6,"Net_25",25,24,124,"Tangled"
6,"Net_25",25,24,109,"Tangled"
6,"Net_25",25,24,122,"Tangled"
6,"Net_25",25,24,135,"Tangled"
6,"Net_25",25,24,136,"Tangled"
6,"Net_25",25,26,115,"Tangled"
6,"Net_25",25,30,185,"Tangled"
6,"Net_25",25,36,191,"Tangled"
6,"Net_25",25,36,146,"Tangled"
6,"Net_30",30,26,152,"Tangled"
6,"Net_30",30,32,204,"Tangled"
7,"Net_20",20,16,95,"Wedged"
7,"Net_20",20,18,104,"Wedged"
7,"Net_20",20,18,90,"Wedged"
7,"Net_20",20,22,114,"Wedged"
7,"Net_20",20,24,108,"Wedged"
7,"Net_20",20,24,135,"Wedged"
7,"Net_20",20,24,132,"Wedged"
7,"Net_20",20,26,133,"Wedged"
7,"Net_20",20,28,152,"Wedged"
7,"Net_20",20,30,148,"Wedged"
7,"Net_25",25,18,94,"Wedged"
7,"Net_25",25,22,114,"Wedged"
7,"Net_25",25,22,115,"Wedged"
7,"Net_25",25,24,125,"Wedged"
7,"Net_25",25,24,116,"Wedged"
7,"Net_25",25,24,119,"Wedged"
7,"Net_25",25,24,128,"Wedged"
7,"Net_25",25,24,114,"Wedged"
7,"Net_25",25,26,114,"Wedged"
7,"Net_25",25,26,113,"Wedged"
7,"Net_25",25,26,113,"Wedged"
7,"Net_25",25,28,178,"Wedged"
7,"Net_30",30,24,122,"Wedged"
7,"Net_30",30,24,132,"Wedged"
7,"Net_30",30,26,114,"Wedged"
7,"Net_30",30,26,133,"Wedged"
7,"Net_30",30,28,141,"Wedged"
7,"Net_30",30,30,138,"Wedged"
7,"Net_30",30,30,138,"Wedged"
7,"Net_20",20,14,70,"Tangled"
7,"Net_20",20,16,112,"Tangled"
7,"Net_20",20,20,105,"Tangled"
7,"Net_20",20,22,120,"Tangled"
7,"Net_20",20,22,127,"Tangled"
7,"Net_20",20,22,140,"Tangled"
7,"Net_20",20,22,120,"Tangled"
7,"Net_20",20,22,120,"Tangled"
7,"Net_20",20,24,110,"Tangled"
7,"Net_20",20,24,136,"Tangled"
7,"Net_20",20,24,124,"Tangled"
7,"Net_20",20,26,138,"Tangled"
7,"Net_20",20,30,156,"Tangled"
7,"Net_20",20,34,212,"Tangled"
7,"Net_20",20,34,178,"Tangled"
7,"Net_25",25,20,90,"Tangled"
7,"Net_25",25,20,90,"Tangled"
7,"Net_25",25,22,120,"Tangled"
7,"Net_25",25,22,102,"Tangled"
7,"Net_25",25,22,137,"Tangled"
7,"Net_25",25,22,135,"Tangled"
7,"Net_25",25,22,136,"Tangled"
7,"Net_25",25,22,89,"Tangled"
7,"Net_25",25,24,132,"Tangled"
7,"Net_25",25,24,133,"Tangled"
7,"Net_25",25,24,140,"Tangled"
7,"Net_25",25,24,130,"Tangled"
7,"Net_25",25,24,142,"Tangled"
7,"Net_25",25,24,125,"Tangled"
7,"Net_25",25,28,128,"Tangled"
7,"Net_25",25,42,151,"Tangled"
7,"Net_30",30,16,94,"Tangled"
7,"Net_30",30,18,114,"Tangled"
7,"Net_30",30,24,112,"Tangled"
7,"Net_30",30,24,132,"Tangled"
7,"Net_30",30,26,117,"Tangled"
7,"Net_30",30,26,141,"Tangled"
7,"Net_30",30,26,114,"Tangled"
7,"Net_30",30,28,141,"Tangled"
7,"Net_30",30,34,139,"Tangled"
8,"Net_20",20,16,112,"Wedged"
8,"Net_20",20,16,91,"Wedged"
8,"Net_20",20,18,100,"Wedged"
8,"Net_20",20,18,99,"Wedged"
8,"Net_20",20,18,109,"Wedged"
8,"Net_20",20,24,133,"Wedged"
8,"Net_20",20,26,139,"Wedged"
8,"Net_20",20,26,119,"Wedged"
8,"Net_25",25,22,135,"Wedged"
8,"Net_25",25,22,111,"Wedged"
8,"Net_25",25,22,113,"Wedged"
8,"Net_25",25,24,124,"Wedged"
8,"Net_25",25,24,136,"Wedged"
8,"Net_25",25,24,116,"Wedged"
8,"Net_25",25,24,137,"Wedged"
8,"Net_25",25,24,130,"Wedged"
8,"Net_25",25,24,135,"Wedged"
8,"Net_25",25,24,119,"Wedged"
8,"Net_25",25,24,130,"Wedged"
8,"Net_25",25,26,138,"Wedged"
8,"Net_25",25,26,143,"Wedged"
8,"Net_25",25,26,117,"Wedged"
8,"Net_25",25,28,166,"Wedged"
8,"Net_25",25,28,167,"Wedged"
8,"Net_30",30,24,135,"Wedged"
8,"Net_30",30,26,136,"Wedged"
8,"Net_30",30,26,121,"Wedged"
8,"Net_30",30,28,179,"Wedged"
8,"Net_30",30,28,128,"Wedged"
8,"Net_20",20,18,82,"Tangled"
8,"Net_20",20,18,114,"Tangled"
8,"Net_20",20,22,137,"Tangled"
8,"Net_20",20,22,128,"Tangled"
8,"Net_20",20,24,132,"Tangled"
8,"Net_20",20,24,120,"Tangled"
8,"Net_20",20,26,136,"Tangled"
8,"Net_20",20,26,117,"Tangled"
8,"Net_20",20,26,114,"Tangled"
8,"Net_20",20,26,134,"Tangled"
8,"Net_20",20,26,177,"Tangled"
8,"Net_20",20,26,115,"Tangled"
8,"Net_20",20,28,163,"Tangled"
8,"Net_20",20,28,163,"Tangled"
8,"Net_20",20,30,148,"Tangled"
8,"Net_20",20,32,204,"Tangled"
8,"Net_20",20,34,178,"Tangled"
8,"Net_25",25,16,94,"Tangled"
8,"Net_25",25,18,100,"Tangled"
8,"Net_25",25,22,135,"Tangled"
8,"Net_25",25,22,102,"Tangled"
8,"Net_25",25,24,114,"Tangled"
8,"Net_25",25,24,132,"Tangled"
8,"Net_25",25,26,133,"Tangled"
8,"Net_25",25,26,134,"Tangled"
8,"Net_25",25,28,152,"Tangled"
8,"Net_25",25,30,140,"Tangled"
8,"Net_25",25,36,146,"Tangled"
8,"Net_30",30,16,91,"Tangled"
8,"Net_30",30,20,85,"Tangled"
8,"Net_30",30,26,137,"Tangled"
8,"Net_30",30,30,167,"Tangled"
8,"Net_30",30,36,207,"Tangled"
9,"Net_20",20,14,73,"Wedged"
9,"Net_20",20,20,112,"Wedged"
9,"Net_20",20,20,110,"Wedged"
9,"Net_20",20,22,129,"Wedged"
9,"Net_20",20,22,123,"Wedged"
9,"Net_20",20,24,135,"Wedged"
9,"Net_20",20,24,121,"Wedged"
9,"Net_20",20,24,133,"Wedged"
9,"Net_20",20,24,140,"Wedged"
9,"Net_20",20,24,119,"Wedged"
9,"Net_20",20,24,125,"Wedged"
9,"Net_20",20,26,170,"Wedged"
9,"Net_20",20,26,114,"Wedged"
9,"Net_20",20,28,118,"Wedged"
9,"Net_25",25,24,120,"Wedged"
9,"Net_25",25,24,113,"Wedged"
9,"Net_25",25,24,125,"Wedged"
9,"Net_25",25,24,132,"Wedged"
9,"Net_25",25,24,135,"Wedged"
9,"Net_25",25,26,141,"Wedged"
9,"Net_25",25,26,167,"Wedged"
9,"Net_25",25,26,115,"Wedged"
9,"Net_25",25,26,136,"Wedged"
9,"Net_25",25,26,115,"Wedged"
9,"Net_25",25,26,161,"Wedged"
9,"Net_25",25,28,199,"Wedged"
9,"Net_25",25,30,165,"Wedged"
9,"Net_25",25,30,142,"Wedged"
9,"Net_25",25,30,140,"Wedged"
9,"Net_30",30,26,115,"Wedged"
9,"Net_30",30,26,161,"Wedged"
9,"Net_30",30,32,183,"Wedged"
9,"Net_30",30,32,145,"Wedged"
9,"Net_30",30,36,207,"Wedged"
9,"Net_20",20,18,100,"Tangled"
9,"Net_20",20,18,101,"Tangled"
9,"Net_20",20,22,122,"Tangled"
9,"Net_20",20,24,132,"Tangled"
9,"Net_20",20,24,132,"Tangled"
9,"Net_20",20,26,119,"Tangled"
9,"Net_20",20,26,161,"Tangled"
9,"Net_20",20,26,134,"Tangled"
9,"Net_20",20,26,138,"Tangled"
9,"Net_20",20,28,128,"Tangled"
9,"Net_20",20,38,148,"Tangled"
9,"Net_25",25,20,126,"Tangled"
9,"Net_25",25,20,114,"Tangled"
9,"Net_25",25,24,133,"Tangled"
9,"Net_25",25,24,110,"Tangled"
9,"Net_25",25,24,132,"Tangled"
9,"Net_25",25,26,143,"Tangled"
9,"Net_25",25,26,137,"Tangled"
9,"Net_25",25,28,135,"Tangled"
9,"Net_25",25,30,178,"Tangled"
9,"Net_30",30,20,105,"Tangled"
9,"Net_30",30,20,100,"Tangled"
9,"Net_30",30,22,125,"Tangled"
9,"Net_30",30,24,112,"Tangled"
9,"Net_30",30,26,139,"Tangled"
9,"Net_30",30,30,160,"Tangled"
9,"Net_30",30,32,200,"Tangled"
9,"Net_30",30,38,210,"Tangled"
9,"Net_30",30,38,208,"Tangled"
10,"Net_20",20,16,94,"Wedged"
10,"Net_20",20,22,130,"Wedged"
10,"Net_20",20,22,115,"Wedged"
10,"Net_20",20,24,120,"Wedged"
10,"Net_20",20,24,130,"Wedged"
10,"Net_20",20,24,137,"Wedged"
10,"Net_20",20,24,118,"Wedged"
10,"Net_20",20,26,138,"Wedged"
10,"Net_20",20,28,142,"Wedged"
10,"Net_20",20,28,147,"Wedged"
10,"Net_25",25,20,110,"Wedged"
10,"Net_25",25,22,113,"Wedged"
10,"Net_25",25,22,112,"Wedged"
10,"Net_25",25,24,122,"Wedged"
10,"Net_25",25,24,130,"Wedged"
10,"Net_25",25,24,132,"Wedged"
10,"Net_25",25,24,122,"Wedged"
10,"Net_25",25,24,128,"Wedged"
10,"Net_25",25,24,132,"Wedged"
10,"Net_25",25,24,133,"Wedged"
10,"Net_25",25,24,133,"Wedged"
10,"Net_25",25,26,114,"Wedged"
10,"Net_25",25,26,115,"Wedged"
10,"Net_25",25,26,117,"Wedged"
10,"Net_25",25,26,132,"Wedged"
10,"Net_25",25,26,170,"Wedged"
10,"Net_30",30,32,172,"Wedged"
10,"Net_20",20,18,104,"Tangled"
10,"Net_20",20,18,102,"Tangled"
10,"Net_20",20,18,116,"Tangled"
10,"Net_20",20,20,112,"Tangled"
10,"Net_20",20,20,90,"Tangled"
10,"Net_20",20,22,122,"Tangled"
10,"Net_20",20,28,135,"Tangled"
10,"Net_20",20,28,159,"Tangled"
10,"Net_20",20,28,184,"Tangled"
10,"Net_20",20,30,230,"Tangled"
10,"Net_20",20,34,230,"Tangled"
10,"Net_20",20,36,215,"Tangled"
10,"Net_20",20,40,240,"Tangled"
10,"Net_25",25,14,91,"Tangled"
10,"Net_25",25,18,114,"Tangled"
10,"Net_25",25,22,115,"Tangled"
10,"Net_25",25,22,128,"Tangled"
10,"Net_25",25,24,133,"Tangled"
10,"Net_25",25,26,121,"Tangled"
10,"Net_25",25,26,121,"Tangled"
10,"Net_25",25,26,137,"Tangled"
10,"Net_25",25,28,178,"Tangled"
10,"Net_25",25,28,131,"Tangled"
10,"Net_30",30,22,112,"Tangled"
10,"Net_30",30,32,172,"Tangled"
11,"Net_20",20,18,105,"Wedged"
11,"Net_20",20,20,103,"Wedged"
11,"Net_20",20,20,111,"Wedged"
11,"Net_20",20,22,130,"Wedged"
11,"Net_20",20,22,120,"Wedged"
11,"Net_20",20,22,140,"Wedged"
11,"Net_20",20,24,110,"Wedged"
11,"Net_20",20,24,120,"Wedged"
11,"Net_20",20,24,128,"Wedged"
11,"Net_20",20,24,113,"Wedged"
11,"Net_20",20,26,114,"Wedged"
11,"Net_20",20,26,132,"Wedged"
11,"Net_20",20,28,125,"Wedged"
11,"Net_25",25,22,112,"Wedged"
11,"Net_25",25,24,142,"Wedged"
11,"Net_25",25,24,113,"Wedged"
11,"Net_25",25,24,128,"Wedged"
11,"Net_25",25,26,139,"Wedged"
11,"Net_25",25,30,140,"Wedged"
11,"Net_30",30,24,128,"Wedged"
11,"Net_30",30,26,119,"Wedged"
11,"Net_30",30,26,121,"Wedged"
11,"Net_30",30,26,138,"Wedged"
11,"Net_30",30,26,113,"Wedged"
11,"Net_30",30,28,166,"Wedged"
11,"Net_30",30,28,141,"Wedged"
11,"Net_20",20,20,103,"Tangled"
11,"Net_20",20,22,127,"Tangled"
11,"Net_20",20,24,119,"Tangled"
11,"Net_20",20,26,114,"Tangled"
11,"Net_20",20,26,113,"Tangled"
11,"Net_20",20,26,141,"Tangled"
11,"Net_20",20,28,172,"Tangled"
11,"Net_20",20,28,179,"Tangled"
11,"Net_25",25,20,100,"Tangled"
11,"Net_25",25,20,111,"Tangled"
11,"Net_25",25,20,85,"Tangled"
11,"Net_25",25,20,119,"Tangled"
11,"Net_25",25,22,89,"Tangled"
11,"Net_25",25,24,110,"Tangled"
11,"Net_25",25,24,137,"Tangled"
11,"Net_25",25,24,136,"Tangled"
11,"Net_25",25,24,125,"Tangled"
11,"Net_25",25,26,119,"Tangled"
11,"Net_25",25,26,113,"Tangled"
11,"Net_25",25,30,138,"Tangled"
11,"Net_25",25,34,168,"Tangled"
11,"Net_30",30,22,122,"Tangled"
11,"Net_30",30,24,112,"Tangled"
11,"Net_30",30,24,137,"Tangled"
11,"Net_30",30,24,128,"Tangled"
11,"Net_30",30,28,184,"Tangled"
